State,County,Date,Hospitalizations,Source
Connecticut,Litchfield,4/4/20,15,CT Department of Public Health
Connecticut,Hartford,4/4/20,18,CT Department of Public Health
Connecticut,Tolland,4/4/20,3,CT Department of Public Health
Connecticut,Windham,4/4/20,3,CT Department of Public Health
Connecticut,Fairfield,4/4/20,475,CT Department of Public Health
Connecticut,New Haven,4/4/20,324,CT Department of Public Health
Connecticut,Middlesex,4/4/20,19,CT Department of Public Health
Connecticut,New London,4/4/20,10,CT Department of Public Health
Ohio,Cuyahoga,4/4/20,203,Ohio Department of Health
Ohio,Mahoning,4/4/20,107,Ohio Department of Health
Ohio,Franklin,4/4/20,94,Ohio Department of Health
Ohio,Summit,4/4/20,68,Ohio Department of Health
Ohio,Hamilton,4/4/20,61,Ohio Department of Health
Ohio,Lucas,4/4/20,49,Ohio Department of Health
Ohio,Trumbull,4/4/20,38,Ohio Department of Health
Ohio,Lorain,4/4/20,29,Ohio Department of Health
Ohio,Miami,4/4/20,26,Ohio Department of Health
Ohio,Lake,4/4/20,23,Ohio Department of Health
Ohio,Portage,4/4/20,21,Ohio Department of Health
Ohio,Montgomery,4/4/20,21,Ohio Department of Health
Ohio,Medina,4/4/20,20,Ohio Department of Health
Ohio,Butler,4/4/20,20,Ohio Department of Health
Ohio,Columbiana,4/4/20,19,Ohio Department of Health
Ohio,Stark,4/4/20,17,Ohio Department of Health
Ohio,Wood,4/4/20,14,Ohio Department of Health
Ohio,Allen,4/4/20,12,Ohio Department of Health
Ohio,Wayne,4/4/20,11,Ohio Department of Health
Ohio,Geauga,4/4/20,10,Ohio Department of Health
Ohio,Delaware,4/4/20,10,Ohio Department of Health
Ohio,Richland,4/4/20,9,Ohio Department of Health
Ohio,Fairfield,4/4/20,7,Ohio Department of Health
Ohio,Licking,4/4/20,6,Ohio Department of Health
Ohio,Jefferson,4/4/20,6,Ohio Department of Health
Ohio,Erie,4/4/20,6,Ohio Department of Health
Ohio,Warren,4/4/20,5,Ohio Department of Health
Ohio,Sandusky,4/4/20,5,Ohio Department of Health
Ohio,Greene,4/4/20,5,Ohio Department of Health
Ohio,Clermont,4/4/20,5,Ohio Department of Health
Ohio,Shelby,4/4/20,4,Ohio Department of Health
Ohio,Madison,4/4/20,4,Ohio Department of Health
Ohio,Hancock,4/4/20,4,Ohio Department of Health
Ohio,Clark,4/4/20,4,Ohio Department of Health
Ohio,Carroll,4/4/20,4,Ohio Department of Health
Ohio,Belmont,4/4/20,4,Ohio Department of Health
Ohio,Tuscarawas,4/4/20,3,Ohio Department of Health
Ohio,Ross,4/4/20,3,Ohio Department of Health
Ohio,Ottawa,4/4/20,3,Ohio Department of Health
Ohio,Marion,4/4/20,3,Ohio Department of Health
Ohio,Knox,4/4/20,3,Ohio Department of Health
Ohio,Huron,4/4/20,3,Ohio Department of Health
Ohio,Gallia,4/4/20,3,Ohio Department of Health
Ohio,Auglaize,4/4/20,3,Ohio Department of Health
Ohio,Wyandot,4/4/20,2,Ohio Department of Health
Ohio,Washington,4/4/20,2,Ohio Department of Health
Ohio,Seneca,4/4/20,2,Ohio Department of Health
Ohio,Preble,4/4/20,2,Ohio Department of Health
Ohio,Muskingum,4/4/20,2,Ohio Department of Health
Ohio,Mercer,4/4/20,2,Ohio Department of Health
Ohio,Fulton,4/4/20,2,Ohio Department of Health
Ohio,Defiance,4/4/20,2,Ohio Department of Health
Ohio,Clinton,4/4/20,2,Ohio Department of Health
Ohio,Champaign,4/4/20,2,Ohio Department of Health
Ohio,Williams,4/4/20,1,Ohio Department of Health
Ohio,Van Wert,4/4/20,1,Ohio Department of Health
Ohio,Logan,4/4/20,1,Ohio Department of Health
Ohio,Lawrence,4/4/20,1,Ohio Department of Health
Ohio,Highland,4/4/20,1,Ohio Department of Health
Ohio,Hardin,4/4/20,1,Ohio Department of Health
Ohio,Coshocton,4/4/20,1,Ohio Department of Health
Ohio,Brown,4/4/20,1,Ohio Department of Health
Ohio,Athens,4/4/20,1,Ohio Department of Health
Ohio,Ashtabula,4/4/20,1,Ohio Department of Health
Ohio,Ashland,4/4/20,1,Ohio Department of Health
Ohio,Union,4/4/20,0,Ohio Department of Health
Ohio,Pike,4/4/20,0,Ohio Department of Health
Ohio,Pickaway,4/4/20,0,Ohio Department of Health
Ohio,Perry,4/4/20,0,Ohio Department of Health
Ohio,Morrow,4/4/20,0,Ohio Department of Health
Ohio,Holmes,4/4/20,0,Ohio Department of Health
Ohio,Guernsey,4/4/20,0,Ohio Department of Health
Ohio,Fayette,4/4/20,0,Ohio Department of Health
Ohio,Darke,4/4/20,0,Ohio Department of Health
Ohio,Crawford,4/4/20,0,Ohio Department of Health
Ohio,Adams,4/4/20,0,Ohio Department of Health
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
