Zip,Positive Cases (#),DATE,COUNTY,STATE,Source,URL
29620,5,4/3/2020,Abbeville,SC,,
29627,0,4/3/2020,Abbeville,SC,,
29628,0,4/3/2020,Abbeville,SC,,
29638,1,4/3/2020,Abbeville,SC,,
29639,0,4/3/2020,Abbeville,SC,,
29646,0,4/3/2020,Abbeville,SC,,
29649,0,4/3/2020,Abbeville,SC,,
29653,0,4/3/2020,Abbeville,SC,,
29654,0,4/3/2020,Abbeville,SC,,
29655,0,4/3/2020,Abbeville,SC,,
29692,0,4/3/2020,Abbeville,SC,,
29819,0,4/3/2020,Abbeville,SC,,
29810,1,4/3/2020,Allendale,SC,,
29812,0,4/3/2020,Allendale,SC,,
29827,0,4/3/2020,Allendale,SC,,
29836,0,4/3/2020,Allendale,SC,,
29849,0,4/3/2020,Allendale,SC,,
29932,0,4/3/2020,Allendale,SC,,
29003,2,4/3/2020,Bamberg,SC,,
29038,1,4/3/2020,Bamberg,SC,,
29042,2,4/3/2020,Bamberg,SC,,
29081,0,4/3/2020,Bamberg,SC,,
29082,0,4/3/2020,Bamberg,SC,,
29432,0,4/3/2020,Bamberg,SC,,
29481,0,4/3/2020,Bamberg,SC,,
29817,0,4/3/2020,Bamberg,SC,,
29843,0,4/3/2020,Bamberg,SC,,
29611,0,4/3/2020,Anderson,SC,,
29621,21,4/3/2020,Anderson,SC,,
29624,5,4/3/2020,Anderson,SC,,
29625,10,4/3/2020,Anderson,SC,,
29626,4,4/3/2020,Anderson,SC,,
29627,5,4/3/2020,Anderson,SC,,
29630,0,4/3/2020,Anderson,SC,,
29631,0,4/3/2020,Anderson,SC,,
29642,1,4/3/2020,Anderson,SC,,
29643,0,4/3/2020,Anderson,SC,,
29654,0,4/3/2020,Anderson,SC,,
29655,5,4/3/2020,Anderson,SC,,
29657,0,4/3/2020,Anderson,SC,,
29669,1,4/3/2020,Anderson,SC,,
29670,1,4/3/2020,Anderson,SC,,
29673,2,4/3/2020,Anderson,SC,,
29684,2,4/3/2020,Anderson,SC,,
29689,0,4/3/2020,Anderson,SC,,
29697,2,4/3/2020,Anderson,SC,,
29812,0,4/3/2020,Barnwell,SC,,
29817,0,4/3/2020,Barnwell,SC,,
29836,0,4/3/2020,Barnwell,SC,,
29843,0,4/3/2020,Barnwell,SC,,
29849,0,4/3/2020,Barnwell,SC,,
29853,1,4/3/2020,Barnwell,SC,,
29006,0,4/3/2020,Aiken,SC,,
29105,0,4/3/2020,Aiken,SC,,
29129,0,4/3/2020,Aiken,SC,,
29137,1,4/3/2020,Aiken,SC,,
29146,0,4/3/2020,Aiken,SC,,
29164,1,4/3/2020,Aiken,SC,,
29801,2,4/3/2020,Aiken,SC,,
29803,4,4/3/2020,Aiken,SC,,
29805,2,4/3/2020,Aiken,SC,,
29809,0,4/3/2020,Aiken,SC,,
29828,0,4/3/2020,Aiken,SC,,
29829,0,4/3/2020,Aiken,SC,,
29831,1,4/3/2020,Aiken,SC,,
29832,0,4/3/2020,Aiken,SC,,
29841,9,4/3/2020,Aiken,SC,,
29842,1,4/3/2020,Aiken,SC,,
29847,0,4/3/2020,Aiken,SC,,
29851,0,4/3/2020,Aiken,SC,,
29853,0,4/3/2020,Aiken,SC,,
29856,0,4/3/2020,Aiken,SC,,
29860,1,4/3/2020,Aiken,SC,,
29902,12,4/3/2020,Beaufort,SC,,
29904,0,4/3/2020,Beaufort,SC,,
29906,11,4/3/2020,Beaufort,SC,,
29907,9,4/3/2020,Beaufort,SC,,
29909,7,4/3/2020,Beaufort,SC,,
